"search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches"
"dolichoderus taschenbergi","Dolichoderus taschenbergi",FALSE,3258539,FALSE,"",1
"tapinoma sessile ","Tapinoma sessile",TRUE,1008036,FALSE,"",2
"brachymyrmex depilis ","Brachymyrmex depilis",TRUE,225004,FALSE,"",1
"brachymyrmex obscurior ","Brachymyrmex obscurior",TRUE,3259305,FALSE,"",1
"camponotus herculeanus ","Camponotus herculeanus",TRUE,436669,FALSE,"sibling_higher",3
"camponotus laevigatus  ","Camponotus laevigatus",TRUE,854285,FALSE,"sibling_higher",1
"camponotus modoc  ","Camponotus modoc",TRUE,329698,FALSE,"sibling_higher",1
"camponotus nearcticus ","Camponotus nearcticus",TRUE,610699,FALSE,"sibling_higher",1
"camponotus novaeboracensis ","Camponotus novaeboracensis",TRUE,5828895,FALSE,"sibling_higher",2
"camponotus vicinus ","Camponotus vicinus",TRUE,329692,FALSE,"sibling_higher",6
"formica accreta  ","Formica accreta",TRUE,3261226,FALSE,"",1
"formica adamsi  ","Formica adamsi",TRUE,3261211,FALSE,"",1
"formica altipetens ","Formica altipetens",TRUE,3261263,FALSE,"",1
"formica aserva  ","Formica aserva",TRUE,3261063,FALSE,"",1
"formica argentea ","Formica argentea",TRUE,3261114,FALSE,"",1
"formica bradleyi  ","Formica bradleyi",TRUE,3261011,FALSE,"",1
"formica canadensis ","Formica canadensis",TRUE,3261169,FALSE,"",2
"formica dakotensis  ","Formica dakotensis",TRUE,3261206,FALSE,"",1
"formica densiventris ","Formica longiventris",TRUE,3261119,FALSE,"",2
"formica emeryi  ","Formica emeryi",TRUE,3261034,FALSE,"",1
"formica fossaceps ","Formica fossaceps",TRUE,3261058,FALSE,"",1
"formica fusca  ","Formica fusca",TRUE,418142,FALSE,"",1
"formica glacialis ","Formica glacialis",TRUE,3261047,FALSE,"",3
"formica hewitti  ","Formica hewitti",TRUE,3261179,FALSE,"",1
"formica impexa  ","Formica impexa",TRUE,3261242,FALSE,"",1
"formica integroides ","Formica integroides",TRUE,3261065,FALSE,"",1
"formica lasioides  ","Formica lasioides",TRUE,3261180,FALSE,"",1
"formica limata  ","Formica limata",TRUE,3261171,FALSE,"",1
"formica microgyna ","Formica microgyna",TRUE,3261151,FALSE,"",1
"formica montana  ","Formica montana",TRUE,3261264,FALSE,"",1
"formica neoclara ","Formica neoclara",TRUE,3261230,FALSE,"",1
"formica neogagates ","Formica gagates",TRUE,714159,FALSE,"",2
"formica neorufibarbis ","Formica rufibarbis",TRUE,432490,FALSE,"",3
"formica obscuripes ","Formica obscuripes",TRUE,442134,FALSE,"",3
"formica obscuriventris ","Formica obscuriventris",TRUE,3261084,FALSE,"",1
"formica obtusopilosa  ","Formica obtusopilosa",TRUE,3261142,FALSE,"",1
"formica opaciventris ","Formica opaciventris",TRUE,3261099,FALSE,"",2
"formica oreas  ","Formica oreas",TRUE,3254006,FALSE,"",1
"formica perpilosa  ","Formica perpilosa",TRUE,3261147,FALSE,"",1
"formica planipilis  ","Formica planipilis",TRUE,3261029,FALSE,"",1
"formica podzolica  ","Formica podzolica",TRUE,3261112,FALSE,"",1
"formica puberula  ","Formica puberula",TRUE,3261192,FALSE,"",1
"formica ravida  ","Formica gravida",TRUE,3261086,FALSE,"",2
"formica rubicunda  ","Formica rubicunda",TRUE,3261236,FALSE,"",1
"formica subintegra  ","Formica subintegra",TRUE,3261027,FALSE,"",1
"formica subnitens  ","Formica subnitens",TRUE,3261081,FALSE,"",1
"formica subpolita  ","Formica subpolita",TRUE,3261074,FALSE,"",1
"formica ulkei  ","Formica ulkei",TRUE,3261018,FALSE,"",1
"lasius alienus  ","Lasius alienus",TRUE,850893,FALSE,"",1
"lasius coloradensis  ","Nysius angustatus",TRUE,3470688,FALSE,"",2
"lasius crypticus  ","Lasius crypticus",TRUE,3260710,FALSE,"",1
"lasius fallax ","Lasius fallax",TRUE,3260728,FALSE,"",2
"lasius flavus  ","Lasius flavus",TRUE,915704,FALSE,"",1
"lasius latipes  ","Lasius latipes",TRUE,425334,FALSE,"",1
"lasius neoniger  ","Lasius neoniger",TRUE,567117,FALSE,"incertae_sedis",1
"lasius niger ","Lasius niger",TRUE,915691,FALSE,"",1
"lasius pallitarsis  ","Lasius pallitarsis",TRUE,581514,FALSE,"",1
"lasius subglaber  ","Acanthomyops subglaber",TRUE,4538390,FALSE,"",1
"lasius subumbratus  ","Lasius subumbratus",TRUE,468299,FALSE,"",1
"lasius umbratus  ","Lasius umbratus",TRUE,581510,FALSE,"",1
"polyergus breviceps  ","Polyergus breviceps",TRUE,799128,FALSE,"",1
"formicoxenus hirticornis  ","Formicoxenus hirticornis",TRUE,3254498,FALSE,"",1
"formicoxenus quebecensis  ","Formicoxenus quebecensis",TRUE,3254500,FALSE,"",1
"formicoxenus provancheri  ","Formicoxenus provancheri",TRUE,180454,FALSE,"",1
"harpagoxenus canadensis  ","Harpagoxenus canadensis",TRUE,918084,FALSE,"",1
"leptothorax athabasca ","Leptothorax athabasca",TRUE,6282349,FALSE,"",1
"leptothorax faberi   ","Leptothorax faberi",TRUE,3254806,FALSE,"",1
"leptothorax muscorum  ","Leptothorax muscorum",TRUE,938602,FALSE,"",1
"leptothorax retractus  ","Leptothorax retractus",TRUE,3254546,FALSE,"",1
"leptothorax wilsoni  ","Leptothorax wilsoni",TRUE,3254843,FALSE,"",1
"manica hunteri  ","Manica hunteri",TRUE,3257155,FALSE,"",1
"manica invidia ","Manica invidia",TRUE,1076712,FALSE,"",1
"monomorium minimum ","Monomorium firmum",TRUE,3257441,FALSE,"",4
"monomorium pharaonis  ","Monomorium pharaonis",TRUE,54024,FALSE,"",1
"myrmica alaskensis  ","Myrmica alaskensis",TRUE,1076716,FALSE,"",1
"myrmica americana  ","Myrmica americana",TRUE,253207,FALSE,"",2
"myrmica brevispinosa  ","Myrmica brevispinosa",TRUE,817835,FALSE,"",1
"myrmica crassirugis  ","Myrmica crassirugis",TRUE,817837,FALSE,"",1
"myrmica detritinodis  ","Myrmica fracticornis",TRUE,500165,FALSE,"",1
"myrmica fracticornis  ","Myrmica fracticornis",TRUE,500165,FALSE,"",1
"myrmica incompleta ","Myrmica incompleta",TRUE,281623,FALSE,"",1
"myrmica latifrons  ","Myrmica lobifrons",TRUE,844613,FALSE,"",2
"myrmica lobifrons  ","Myrmica lobifrons",TRUE,844613,FALSE,"",2
"myrmica nearctica  ","Myrmica nearctica",TRUE,1025993,FALSE,"",1
"pogonomyrmex occidentalis  ","Pogonomyrmex occidentalis",TRUE,1042740,FALSE,"",1
"pogonomyrmex salinus  ","Pogonomyrmex salinus",TRUE,1042742,FALSE,"",1
"solenopsis molesta  ","Solenopsis molesta",TRUE,260017,FALSE,"",2
"temnothorax ambiguus  ","Temnothorax ambiguus",TRUE,918086,FALSE,"",1
"temnothorax fragosus ","Temnothorax formosus",TRUE,3254797,FALSE,"",1
"temnothorax rugatulus  ","Temnothorax rugatulus",TRUE,343458,FALSE,"",1
